"{1., -0.5, -0.6623589786223731, 0.3311794893111867 - 0.2811397560311505*I, 0.33117948931118646 + 0.2811397560311505*I, 0. - 1.5532187701807034*I, 1.6642068378030344 - 0.7766093850903516*I, 0.5885679406489666 + 0.4451318565792295*I}","{1., -0.4, -0.637800080225344, 0.318900040112672 - 0.23471622600832537*I, 0.318900040112672 + 0.23471622600832528*I, 0. - 1.588398216139626*I, 1.7710786460275858 - 0.7941991080698132*I, 0.5431825417615527 + 0.42602707250266625*I}","{1., -0.3, -0.610598343090539, 0.3052991715452694 - 0.1721126155709786*I, 0.30529917154526953 + 0.1721126155709786*I, 0. - 1.6306694149279501*I, 1.952734227729895 - 0.815334707463975*I, 0.46775274187766436 + 0.3880412688259217*I}","{1., -0.19999999999999996, -0.5798524263824308, 0.2899262131912154 - 0.04660072194928211*I, 0.2899262131912154 + 0.04660072194928211*I, 0. - 1.6833796029459784*I, 2.682911389276284 - 0.8416898014729894*I, 0.2374095567108921 + 0.22503020929545586*I}","{1., -0.09999999999999998, -0.5440169573456445, 0.1045744242206582, 0.4394425331249862, 0. - 1.7529253066364956*I, 2.0365486748093096, 0.5835239112172118}","{1., 0, 0.5000000000000007, 0, -0.5000000000000003, 1.8540746773013717, 0. + 1.8540746773013717*I, 0.7071067811865472}","{1., 0.10000000000000009, 0.5440169573456446, -0.10457442422065837, -0.4394425331249862, 1.7529253066364956, 0. + 2.03654867480931*I, 0.5835239112172116}","{1., 0.20000000000000007, 0.5798524263824308, -0.28992621319121537 + 0.04660072194928248*I, -0.2899262131912154 - 0.04660072194928248*I, 1.6833796029459784, 0.8416898014729892 + 2.68291138927628*I, 0.23740955671089312 + 0.22503020929545664*I}","{1., 0.30000000000000004, 0.6105983430905391, -0.3052991715452695 + 0.17211261557097865*I, -0.3052991715452696 - 0.17211261557097865*I, 1.63066941492795, 0.8153347074639749 + 1.952734227729895*I, 0.46775274187766436 + 0.38804126882592177*I}","{1., 0.4, 0.637800080225344, -0.318900040112672 + 0.23471622600832537*I, -0.318900040112672 - 0.23471622600832528*I, 1.588398216139626, 0.7941991080698132 + 1.7710786460275858*I, 0.5431825417615527 + 0.42602707250266625*I}","{1., 0.5, 0.6623589786223731, -0.3311794893111867 + 0.2811397560311505*I, -0.33117948931118646 - 0.2811397560311505*I, 1.5532187701807034, 0.7766093850903516 + 1.6642068378030344*I, 0.5885679406489666 + 0.4451318565792295*I}"
"{1.1, -0.5, -0.6778045112697996, 0.3389022556348999 - 0.263750292176651*I, 0.3389022556348998 + 0.263750292176651*I, 0. - 1.5388715887804798*I, 1.6895597251830532 - 0.7694357943902399*I, 0.5604980699725903 + 0.4336485543527107*I}","{1.1, -0.4, -0.6541227066427499, 0.327061353321375 - 0.2142600907990747*I, 0.32706135332137487 + 0.21426009079907468*I, 0. - 1.571965836835514*I, 1.8091570377039705 - 0.7859829184177571*I, 0.5087790914285762 + 0.4096668546578812*I}","{1.1, -0.3, -0.6280295615200735, 0.31401478076003675 - 0.14427698225053678*I, 0.31401478076003664 + 0.14427698225053678*I, 0. - 1.6113659938144465*I, 2.032686145371906 - 0.8056829969072236*I, 0.41749992508168066 + 0.3584265601368819*I}","{1.1, -0.19999999999999996, -0.598754296564429, 0.22114691589583357, 0.37760738066859545, 0. - 1.6598539272190496*I, 2.38692966807883, 0.40031046679472276}","{1.1, -0.09999999999999998, -0.5650188587500087, 0.09392187161302444, 0.4710969871369842, 0. - 1.7225347608537627*I, 1.9554558411688174, 0.6033472786008895}","{1.1, 0, 0.5244044240850764, 0, -0.524404424085076, 1.8104188012162103, 0. + 1.8104188012162103*I, 0.7071067811865471}","{1.1, 0.10000000000000009, 0.5650188587500087, -0.09392187161302444, -0.4710969871369842, 1.7225347608537627, 0. + 1.9554558411688174*I, 0.6033472786008895}","{1.1, 0.20000000000000007, 0.5987542965644287, -0.22114691589583363, -0.37760738066859506, 1.6598539272190496, 0. + 2.3869296680788312*I, 0.4003104667947224}","{1.1, 0.30000000000000004, 0.6280295615200733, -0.3140147807600367 + 0.14427698225053698*I, -0.3140147807600366 - 0.14427698225053698*I, 1.6113659938144465, 0.8056829969072232 + 2.0326861453719056*I, 0.417499925081681 + 0.35842656013688207*I}","{1.1, 0.4, 0.6541227066427499, -0.327061353321375 + 0.2142600907990747*I, -0.32706135332137487 - 0.21426009079907468*I, 1.571965836835514, 0.7859829184177571 + 1.8091570377039705*I, 0.5087790914285762 + 0.4096668546578812*I}","{1.1, 0.5, 0.6778045112697996, -0.3389022556348999 + 0.263750292176651*I, -0.3389022556348998 - 0.263750292176651*I, 1.5388715887804798, 0.7694357943902399 + 1.6895597251830532*I, 0.5604980699725903 + 0.4336485543527107*I}"
"{1.2, -0.5, -0.69307664345122, 0.34653832172561017 - 0.24549221020881196*I, 0.3465383217256099 + 0.24549221020881185*I, 0. - 1.5249438159524524*I, 1.718241404103554 - 0.7624719079762264*I, 0.5316324277507414 + 0.4207151232194698*I}","{1.2, -0.4, -0.6702263275321123, 0.3351131637660562 - 0.19210022797458187*I, 0.3351131637660561 + 0.19210022797458184*I, 0. - 1.5561033925902608*I, 1.8553531880574903 - 0.7780516962951305*I, 0.47213320958232613 + 0.3904599029796531*I}","{1.2, -0.3, -0.6451727893080198, 0.3225863946540099 - 0.11038997258636166*I, 0.32258639465400984 + 0.11038997258636161*I, 0. - 1.592879414633604*I, 2.1571304154712627 - 0.7964397073168024*I, 0.3552139844445978 + 0.31699902622626447*I}","{1.2, -0.19999999999999996, -0.6172550468998976, 0.18926607528743056, 0.42798897161246713, 0. - 1.6375913908963793*I, 2.1490583179359395, 0.47790127809484056}","{1.2, -0.09999999999999998, -0.5854101966249684, 0.08541019662496827, 0.5000000000000001, 0. - 1.6943410593036972*I, 1.8904652766121124, 0.618033988749895}","{1.2, 0, 0.5477225575051669, 0, -0.5477225575051665, 1.7714622866362328, 0. + 1.7714622866362328*I, 0.7071067811865471}","{1.2, 0.10000000000000009, 0.585410196624968, -0.08541019662496836, -0.49999999999999956, 1.6943410593036972, 0. + 1.890465276612113*I, 0.6180339887498949}","{1.2, 0.20000000000000007, 0.617255046899898, -0.18926607528743086, -0.42798897161246713, 1.637591390896379, 0. + 2.14905831793594*I, 0.47790127809484023}","{1.2, 0.30000000000000004, 0.6451727893080198, -0.3225863946540099 + 0.11038997258636171*I, -0.3225863946540099 - 0.11038997258636168*I, 1.592879414633604, 0.7964397073168021 + 2.1571304154712623*I, 0.3552139844445979 + 0.3169990262262645*I}","{1.2, 0.4, 0.6702263275321123, -0.3351131637660562 + 0.19210022797458187*I, -0.3351131637660561 - 0.19210022797458184*I, 1.5561033925902608, 0.7780516962951305 + 1.8553531880574903*I, 0.47213320958232613 + 0.3904599029796531*I}","{1.2, 0.5, 0.69307664345122, -0.34653832172561017 + 0.24549221020881196*I, -0.3465383217256099 - 0.24549221020881185*I, 1.5249438159524524, 0.7624719079762264 + 1.718241404103554*I, 0.5316324277507414 + 0.4207151232194698*I}"
"{1.3, -0.5, -0.7081739269883658, 0.35408696349418284 - 0.22612548098255703*I, 0.35408696349418295 + 0.22612548098255694*I, 0. - 1.5114298330876454*I, 1.7514097248254525 - 0.7557149165438227*I, 0.5015544058083024 + 0.40602550166922236*I}","{1.3, -0.4, -0.6861114462413198, 0.3430557231206599 - 0.16751623054950882*I, 0.34305572312065985 + 0.1675162305495089*I, 0. - 1.5407955177307588*I, 1.914255060762499 - 0.7703977588653796*I, 0.4318151665822238 + 0.3672119498008025*I}","{1.3, -0.3, -0.6620328067218914, 0.3310164033609456 - 0.06095554020799515*I, 0.33101640336094573 + 0.06095554020799516*I, 0. - 1.5751728000020617*I, 2.442412309174988 - 0.7875864000010305*I, 0.25499120496067074 + 0.23981920806990975*I}","{1.3, -0.19999999999999996, -0.6353694745474517, 0.16859005893150195, 0.4667794156159498, 0. - 1.6165024631414493*I, 2.020532008862085, 0.520146805021403}","{1.3, -0.09999999999999998, -0.605232547728287, 0.07840616620227686, 0.5268263815260101, 0. - 1.6681019926216558*I, 1.8363012715774443, 0.6293729511940753}","{1.3, 0, 0.5700877125495695, 0, -0.5700877125495691, 1.7363664440320088, 0. + 1.7363664440320088*I, 0.7071067811865471}","{1.3, 0.10000000000000009, 0.605232547728287, -0.07840616620227686, -0.5268263815260101, 1.6681019926216558, 0. + 1.8363012715774443*I, 0.6293729511940753}","{1.3, 0.20000000000000007, 0.6353694745474517, -0.16859005893150195, -0.4667794156159498, 1.6165024631414493, 0. + 2.020532008862085*I, 0.520146805021403}","{1.3, 0.30000000000000004, 0.6620328067218914, -0.3310164033609457 + 0.06095554020799529*I, -0.3310164033609457 - 0.060955540207995276*I, 1.5751728000020617, 0.7875864000010311 + 2.442412309174987*I, 0.2549912049606709 + 0.2398192080699101*I}","{1.3, 0.4, 0.6861114462413198, -0.3430557231206599 + 0.16751623054950882*I, -0.34305572312065985 - 0.1675162305495089*I, 1.5407955177307588, 0.7703977588653796 + 1.914255060762499*I, 0.4318151665822238 + 0.3672119498008025*I}","{1.3, 0.5, 0.7081739269883658, -0.35408696349418284 + 0.22612548098255703*I, -0.35408696349418295 - 0.22612548098255694*I, 1.5114298330876454, 0.7557149165438227 + 1.7514097248254525*I, 0.5015544058083024 + 0.40602550166922236*I}"
"{1.4, -0.5, -0.7230959729670964, 0.36154798648354824 - 0.20530669641033109*I, 0.36154798648354813 + 0.20530669641033109*I, 0. - 1.4983216572163827*I, 1.7908625049351683 - 0.7491608286081914*I, 0.46965082895346166 + 0.3890924939846554*I}","{1.4, -0.4, -0.7017797700370763, 0.3508898850185381 - 0.1391802221041792*I, 0.3508898850185382 + 0.13918022210417924*I, 0. - 1.5260244142238801*I, 1.9955428129040453 - 0.7630122071119398*I, 0.3850409786605197 + 0.3374831407517323*I}","{1.4, -0.3, -0.6786155927721289, 0.2714059706749737, 0.4072096220971551, 0. - 1.5582079099999735*I, 2.373577101999932, 0.35365170997391254}","{1.4, -0.19999999999999996, -0.6531128874149281, 0.15311288741492768, 0.5000000000000004, 0. - 1.5965020072849876*I, 1.9315391089901295, 0.5484766833640441}","{1.4, -0.09999999999999998, -0.6245241984875338, 0.07251818560334132, 0.5520060128841926, 0. - 1.643607400024304*I, 1.7899286678277804, 0.6383917284825888}","{1.4, 0, 0.591607978309962, 0, -0.5916079783099617, 1.7044929665664619, 0. + 1.7044929665664619*I, 0.7071067811865472}","{1.4, 0.10000000000000009, 0.6245241984875342, -0.07251818560334182, -0.5520060128841925, 1.6436074000243037, 0. + 1.7899286678277806*I, 0.6383917284825884}","{1.4, 0.20000000000000007, 0.6531128874149281, -0.15311288741492768, -0.5000000000000004, 1.5965020072849876, 0. + 1.9315391089901295*I, 0.5484766833640441}","{1.4, 0.30000000000000004, 0.6786155927721289, -0.2714059706749737, -0.4072096220971551, 1.5582079099999735, 0. + 2.373577101999932*I, 0.35365170997391254}","{1.4, 0.4, 0.7017797700370763, -0.3508898850185381 + 0.1391802221041792*I, -0.3508898850185382 - 0.13918022210417924*I, 1.5260244142238801, 0.7630122071119398 + 1.9955428129040453*I, 0.3850409786605197 + 0.3374831407517323*I}","{1.4, 0.5, 0.7230959729670964, -0.3615479864835481 + 0.20530669641033109*I, -0.3615479864835482 - 0.20530669641033109*I, 1.4983216572163827, 0.7491608286081912 + 1.7908625049351683*I, 0.46965082895346183 + 0.38909249398465523*I}"
"{1.5, -0.5, -0.7378432588978605, 0.36892162944893014 - 0.18250892040051442*I, 0.36892162944893037 + 0.18250892040051442*I, 0. - 1.485609554308909*I, 1.8396336597512657 - 0.7428047771544543*I, 0.4349469024215953 + 0.36909692008147615*I}","{1.5, -0.4, -0.71723393899463, 0.358616969497315 - 0.1040115014520747*I, 0.358616969497315 + 0.10401150145207466*I, 0. - 1.511770727965043*I, 2.1263375754058207 - 0.7558853639825215*I, 0.3247920012265704 + 0.2949059804751737*I}","{1.5, -0.3, -0.694927951192491, 0.23429879990798488, 0.46062915128450604, 0. - 1.5419463075442548*I, 2.108629691557417, 0.4425636020711295}","{1.5, -0.19999999999999996, -0.6705006648525869, 0.14077245752999765, 0.5297282073225893, 0. - 1.5775102042391784*I, 1.8633004973707488, 0.5692696927119344}","{1.5, -0.09999999999999998, -0.6433202127872176, 0.06748629211574782, 0.5758339206714699, 0. - 1.6206749543648171*I, 1.7494365627626207, 0.6457301924744153}","{1.5, 0, 0.6123724356957951, 0, -0.6123724356957948, 1.6753455932517962, 0. + 1.6753455932517962*I, 0.7071067811865472}","{1.5, 0.10000000000000009, 0.6433202127872176, -0.06748629211574782, -0.5758339206714699, 1.6206749543648171, 0. + 1.7494365627626207*I, 0.6457301924744153}","{1.5, 0.20000000000000007, 0.6705006648525869, -0.14077245752999765, -0.5297282073225893, 1.5775102042391784, 0. + 1.8633004973707488*I, 0.5692696927119344}","{1.5, 0.30000000000000004, 0.6949279511924911, -0.23429879990798516, -0.4606291512845059, 1.5419463075442548, 0. + 2.1086296915574176*I, 0.44256360207112905}","{1.5, 0.4, 0.71723393899463, -0.358616969497315 + 0.1040115014520747*I, -0.358616969497315 - 0.10401150145207466*I, 1.511770727965043, 0.7558853639825215 + 2.1263375754058207*I, 0.3247920012265704 + 0.2949059804751737*I}","{1.5, 0.5, 0.7378432588978605, -0.36892162944893014 + 0.18250892040051442*I, -0.36892162944893037 - 0.18250892040051442*I, 1.485609554308909, 0.7428047771544543 + 1.8396336597512657*I, 0.4349469024215953 + 0.36909692008147615*I}"
